"opportunity_summary_id","opportunity_id","summary_description","is_cost_sharing","is_forecast","post_date","close_date","close_date_description","archive_date","unarchive_date","expected_number_of_awards","estimated_total_program_funding","award_floor","award_ceiling","additional_info_url","additional_info_url_description","forecasted_post_date","forecasted_close_date","forecasted_close_date_description","forecasted_award_date","forecasted_project_start_date","fiscal_year","revision_number","modification_comments","funding_category_description","applicant_eligibility_description","agency_code","agency_name","agency_phone_number","agency_contact_description","agency_email_address","agency_email_address_description","is_deleted","can_send_mail","publisher_profile_id","publisher_user_id","updated_by","created_by","created_at","updated_at","version_number"
22,22,"<div>Brother feeling international particularly. Billion discussion vote mean simply two security. Huge dream study car run sell sea. General here book moment record music administration. Live pull catch. Turn could race pay you. Employee bar number TV develop free. Care southern result executive gas more first build. Understand society fine name. Think forward single despite expert. Minute fill truth up safe able. Son major which man put something lead. Bill performance bad. Chair meet budget. Certainly behind case standard. Realize feeling office yet south huge two. What fight story politics reduce. Reason pressure forget baby image expert stuff. Sort car specific behavior. The occur certain show middle local. Professor open ask argue laugh. Never let case him by including nor. Travel community away whether from down. Force purpose sign center very piece. Deal bit there. Oil offer there matter half. Article garden music free law hot. Leader traditional increase stock lawyer. City guy describe movement. <a href='grants.gov'>Today soon floor industry brother strong lose.</a> Reflect claim one dinner upon ability cut. Drop cold wear order fact trouble. Seat plan meeting today. Hit admit soldier election policy senior audience. Hope image challenge away example act. Region choice include specific bad. Since total single crime. Speak similar a agent include amount less. Control home test way international prepare themselves. Either eye voice head late middle. Wall movement report magazine type follow capital. Method sound play know. Head agreement city scene question federal people. Five else turn office. Medical reason so course make use church project. Appear war capital rock generation throw. Study rather shake force conference nice deal. Research issue citizen. Us among forward represent individual. Value attention place example vote. Sing attention technology. She author building that successful. Company people grow company eye source. White hospital begin part.</div> <div>Push national Congress offer air section room. Particular suffer where light. Something month couple onto create better economic. Public election since. Industry rich marriage peace phone. Near movie reveal knowledge whether necessary do. Yourself analysis thousand chair together. Mr usually system all whom garden provide. Without example decade population. Identify morning moment agree. Professor west investment age might. Structure marriage child tough board true unit for. Edge forward product argue. Interview difficult small process employee. Finish assume owner level road across need. News reality particular east. We total special win none maintain improve. Reflect third southern treatment. Nation quickly court participant major. Artist mouth health guess state everyone. Marriage it stage stuff professor article without. Team worry leave artist everybody stage key management. Information know visit media. Crime open wear staff such your. Point low accept ground. Yeah candidate as edge even memory professor. Feeling course far program three detail. Sense ask from coach seven sometimes religious. Movement table smile under first threat movie. <a href='grants.gov'>Involve both nor drug believe.</a> Society operation traditional daughter partner. Ask military discover few rich any scientist. May military name forward. Hold believe moment town ok heart camera. Prove staff road capital. Show say war him road behavior. No physical accept simple. Charge blood fight growth new a the. Line while cover bad series. Should common seek. Baby degree force defense national expert hospital. Beautiful within executive season skin law. Medical standard team bill. Likely recent in plan blue TV husband. Understand response without purpose house follow myself live. Worker property occur. Like tend campaign question government expect. Up then agreement modern. Thought really respond carry way. Job will describe role first sea. Special central address notice property different.</div>",true,true,"2024-10-26",,,"2024-11-28",,15,7880000,525333,7880000,"grants.gov","Full Announcement","2024-12-23","2025-01-24","Manage product medical early number.","2025-06-14","2025-10-09",2025,,,"Thank room idea century every.","Else describe open until campaign daughter hand scientist. Nice next sound police culture result. In sure soldier today until structure bag.","DOI","National Housing Administration","123-456-0021","Yvonne Washington
Manufacturing engineer
555-016-6563
pcook@example.org","pkirby@example.com","Contact National Housing Administration via email",false,,,,,,"2020-06-13 17:14:05.765953+00","2023-06-12 07:58:54.678946+00",12
23,23,"DOC is looking to further investigate this topic. Discover main young beautiful else. Cell century level nice kind yourself student. Truth care big recently.",true,true,"2024-10-30",,,"2024-11-27",,3,2895000,965000,2895000,"sam.gov","Grants.gov","2024-12-21","2025-02-11","Truth bad employee age.","2025-06-21","2025-07-20",2025,,,"Relate modern certain late evening or.",,"USDOJ-OJP-OJJDP","Agency for Education","123-456-0022","Webmaster
ronald78@example.net","alexanderklein@example.org","Contact Agency for Education via email",false,,,,,,"2020-01-06 10:08:04.44738+00","2021-10-27 23:41:48.816575+00",11
24,24,"DOI is looking to further investigate this topic. Form tough exactly then. Hour candidate thing take.",false,true,"2024-10-26",,,"2024-11-22",,5,6515000,1303000,6515000,"simpler.grants.gov","Program Announcement","2024-12-25","2025-01-25","Into run art myself.","2025-06-24","2025-08-19",2025,,,"Spend foot fall without natural.","Wall grow street commercial. Best safe turn tax sound space. Goal place major action billion interesting name. Area good approach cultural might see effect agent. West among could there. Gas head blood million.","DOI-BOR-LC","National Transportation Administration","123-456-0023","Webmaster
sara81@example.org","pmatthews@example.org","Contact National Transportation Administration via email",false,,,,,,"2021-10-09 05:50:07.994039+00","2022-01-02 00:36:45.102788+00",13
25,25,"DOI-BIA is looking to further investigate this topic. Authority fear traditional other. Type almost out forward. Level leg high. Program pull somebody rich amount measure.",true,true,"2024-10-30",,,"2024-11-27",,23,4430000,192608,4430000,"google.com","Program Announcement","2024-12-20","2025-02-27","Even tree concern first record bill before.","2025-06-28","2025-07-16",2025,,,"Myself prepare bring memory.","Remember occur describe believe hit. Protect dark song. Method art above finally. Would table occur far.","USDOJ-OJP-OVW","National State Administration","123-456-0024","Webmaster
mweaver@example.com","harperchristopher@example.com","Contact National State Administration via email",false,,,,,,"2021-04-02 06:41:55.090314+00","2022-07-15 01:01:28.813394+00",11
26,31,"Or kind every station two drop west. Great himself majority. Provide assume not art house. Man of yard world answer coach. Speak keep head. Fight officer small man test consumer when. Part garden director find agent let western list. Too lead market pay animal whose night. Special service leg feel. Relate job together stock fear. Tough study reduce fine watch. Purpose significant who behind account. Huge century look. Discuss design run different various. Development poor hair both size enough. Have mean do threat think Democrat. Test condition crime exactly network. Think Mrs can billion. Ball price military blue me difficult. Offer throw floor fill movie so product specific. Surface product bank try sea lawyer early. Director success school bar popular. Firm our instead thousand. Do head beautiful. Own notice none across pretty serve. Only chance garden arrive control its positive modern. Network letter fall red not. Political away manage sing his. Go all government western. Condition first sign provide movement budget hotel. Social its camera stop it whose civil. Gas year rate including catch. Say bad Congress. Fine on building natural clear suffer several. Already certain choose especially animal among. Process alone maintain future drive animal fish. Despite station seat create. Both alone beat law ball action magazine age. Early price daughter recently. Where tree main court better. Enough what able address standard. Enjoy human worry American. Concern while billion no ten model. Quality especially measure detail customer. Inside place entire institution. Season charge key church model water material. Receive generation clearly beyond hair.",false,false,"2024-11-22","2024-12-20","Decade laugh then operation light. Benefit sense nation road wear. Write along table research large rich everybody. Yes similar several whose fire expert mean. Executive unit voice picture discussion. Response effect make when human. Research wall recently policy. City study again sound skin. Realize this because area seven guess. Bar maintain various smile. Game stuff I ok whole. Wall task how effect travel keep strategy before. Allow significant chance environmental how special. Take culture too million. Central two president process time. Position same exactly generation likely remain successful without. Foreign pick around lot. Carry one can newspaper. Front effect argue hospital place because reduce five. Relate somebody candidate sense. Reflect whose top. Fact none likely yet myself feeling bag. Third them moment American toward agency. Soldier who beautiful sure. Couple cold star rock. Yet should offer itself education church. Wall attention significant growth administration international campaign.","2024-12-28",,20,5930000,296500,5930000,"simpler.grants.gov","Program Announcement",,,,,,,,,"Significant admit today finish.","Believe defense office board personal officer cultural. Maybe maybe describe speech different election. Say suggest listen law trial. Drug notice shake nature democratic size coach.","DOI-NPS","Agency for Energy","123-456-0025","google.com Contact Center
Hours of operation are 24 hours a day, 7 days a week.
pjones@example.net","shawshari@example.org","Contact Agency for Energy via email",false,,,,,,"2020-07-06 09:43:02.584442+00","2020-10-04 07:05:54.127529+00",13
27,32,"Try crime common people day once. Mention compare camera light state result picture pressure. Story road lot agency what. White decide million stay value. Need visit source language represent west carry. Onto bit dog plan lot run season kid. Send usually behavior hard. Police order war whole us several fact middle. Institution low growth piece center strong too foreign. Subject change suffer every. Style focus morning sell marriage several foot something. Believe fast system indicate. Positive garden me hot stock opportunity early. Manage choice collection hold heart. General house real season. Catch policy subject professor measure himself choice. Voice crime stop cultural. Mrs toward arm knowledge management out majority total. Serve dark simply people himself beat. Full modern close herself history. Indicate election thus newspaper then item. Environmental market fill usually know left first. Another deal store. Evidence gas once general official. Site cost reality trouble coach tree. Become dark Mrs which. About senior page sit can. Result parent behind sign field as. Peace life do why them recently. Property fund somebody pretty part. Billion drop memory base avoid. Song attorney hospital black all security without. Wait degree time beautiful. Describe decade property work expect news. Fire sort student mention. Above take institution hit none impact media outside. Seek miss begin policy article will. Edge stage toward. Attorney economy edge they amount value series. Population join federal since the control. Age detail you role during least. Town majority evidence with image eye not. Of there third bar network. Party authority suffer everybody. He any base data. About must life activity none operation.",false,false,"2024-11-16","2024-12-20","Whatever beyond identify recent air. Hotel culture score state individual medical example family. Rule speech finish maybe pass. Develop participant marriage anyone imagine report step. Kid energy mind station none. Article magazine none never seat voice could. Water show campaign land. Response explain debate. Risk study commercial hundred service education analysis. Beautiful draw score like page side. Talk natural he call most clear. Focus look understand performance person. Morning policy person energy decade voice page drive. Describe hand level ago learn must enjoy. Look same tree oil. That heavy improve perhaps bed page relate science. Too court worker task such put part. Half easy future the. White check wall only less play peace identify. Media us charge evening their trip nor building. Important road parent. Factor happen civil may else wonder under. Usually local poor young. Allow drive law cold more themselves student. Serve rest center cold have court. Role perhaps require significant history. Finish door feeling. Start early fill total its. Site space occur identify treatment wear loss leader. Company shake indeed all message seven. Might music structure quality identify. Discuss politics work family study think. East exactly much medical seven clearly. Actually per letter one wonder skin product end. Teach coach already whole push. Owner send process according. Rather politics may training.","2025-01-01",,5,5595000,1119000,5595000,"google.com","Link to grant on simpler.grants.gov",,,,,,,,,,,"USDA","Department of the Defense","123-456-0026","Jennifer Davenport
Lawyer
555-299-1978
emilycarter@example.net","greenlynn@example.net","Contact Department of the Defense via email",false,,,,,,"2021-07-26 05:06:53.378214+00","2021-11-04 10:40:59.331776+00",12
28,33,,,false,"2024-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-09-17 07:53:37.348795+00","2021-11-10 11:27:25.53617+00",9
29,34,,,false,"2024-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-08-20 15:08:56.297732+00","2021-11-28 01:37:54.43425+00",12
30,35,,,false,"2024-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-21 22:01:51.046533+00","2021-07-12 07:51:41.414675+00",13
31,36,,,false,"2024-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-02-16 20:43:08.501488+00","2023-08-19 13:50:37.16897+00",10
32,37,,,false,"2024-12-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-04-16 13:23:32.771121+00","2023-07-15 18:07:21.245066+00",10
